Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Poulet à la crème,"Arachides, Chocolat noir, Carottes, Crevettes, Boeuf haché","Arachides, Chocolat noir, Carottes, Crevettes, Boeuf haché","Arachides, Crustacés"
Lasagne bolognaise,"Poulet, Pommes de terre, Poisson","Poulet, Pommes de terre, Poisson",Poisson
Quiche lorraine,"Escargots, Oignons, Carottes, Crevettes","Escargots, Oignons, Carottes, Crevettes","Mollusques, Crustacés"
Salade César,"Oignons, Oeufs, Pain, Pâtes alimentaires","Oignons, Oeufs, Pain, Pâtes alimentaires","Oeufs, Gluten"
Profiteroles,"Crème fraîche, Fromage en grains, Poulet, Pâtes alimentaires","Crème fraîche, Fromage en grains, Poulet, Pâtes alimentaires","Gluten, Lait"
Quiche lorraine,"Huile végétale, Oignons, Boeuf haché, Noix de cajou","Huile végétale, Oignons, Boeuf haché, Noix de cajou",Fruits à coque
Raclette,"Crevettes, Carottes, Sauce soja, Tomates","Crevettes, Carottes, Sauce soja, Tomates","Soja, Crustacés"
Cassoulet,"Fromage en grains, Carottes, Noisettes, Pain","Fromage en grains, Carottes, Noisettes, Pain","Fruits à coque, Gluten, Lait"
Lasagne bolognaise,"Champignons, Boeuf haché, Escargots, Carottes","Champignons, Boeuf haché, Escargots, Carottes",Mollusques
Tourtière,"Arachides, Noix de cajou, Vanille","Arachides, Noix de cajou, Vanille","Fruits à coque, Arachides"
Profiteroles,"Fromage en grains, Pommes de terre, Crème fraîche, Noisettes","Fromage en grains, Pommes de terre, Crème fraîche, Noisettes","Fruits à coque, Lait"
Coquilles Saint-Jacques,"Carottes, Sauce soja, Céleri","Carottes, Sauce soja, Céleri","Céleri, Soja"
Gâteau au chocolat,"Poivrons, Pain, Pommes de terre, Chocolat noir","Poivrons, Pain, Pommes de terre, Chocolat noir",Gluten
Magret de canard,"Noix de cajou, Noisettes, Pain","Noix de cajou, Noisettes, Pain","Fruits à coque, Gluten"
Salade César,"Sauce brune, Boeuf haché, Crevettes, Moutarde, Pâtes alimentaires, Huile végétale","Sauce brune, Boeuf haché, Crevettes, Moutarde, Pâtes alimentaires, Huile végétale","Moutarde, Gluten, Crustacés"
Salade niçoise,"Vanille, Sauce brune, Oignons","Vanille, Sauce brune, Oignons",Gluten
Quiche lorraine,"Beurre, Oeufs, Lait, Huile végétale, Crevettes, Arachides","Beurre, Oeufs, Lait, Huile végétale, Crevettes, Arachides","Oeufs, Arachides, Lait, Crustacés"
Profiteroles,"Carottes, Chocolat noir, Lait, Pâtes alimentaires, Tomates, Noisettes","Carottes, Chocolat noir, Lait, Pâtes alimentaires, Tomates, Noisettes","Fruits à coque, Gluten, Lait"
Fèves au lard,"Moutarde, Carottes, Poisson, Lait, Pommes de terre","Moutarde, Carottes, Poisson, Lait, Pommes de terre","Moutarde, Lait, Poisson"
Raclette,"Arachides, Oignons, Boeuf haché, Noisettes, Crème fraîche","Arachides, Oignons, Boeuf haché, Noisettes, Crème fraîche","Fruits à coque, Arachides, Lait"
Hamburger steak,"Oignons, Escargots, Pommes de terre, Chocolat noir, Pain","Oignons, Escargots, Pommes de terre, Chocolat noir, Pain","Gluten, Mollusques"
Fèves au lard,"Chocolat noir, Escargots, Beurre, Champignons","Chocolat noir, Escargots, Beurre, Champignons","Lait, Mollusques"
Filet de saumon,"Arachides, Chocolat noir, Crevettes, Lait, Tomates","Arachides, Chocolat noir, Crevettes, Lait, Tomates","Arachides, Lait, Crustacés"
Croque-monsieur,"Beurre, Carottes, Poisson, Poulet, Lait, Pâtes alimentaires","Beurre, Carottes, Poisson, Poulet, Lait, Pâtes alimentaires","Gluten, Lait, Poisson"
Spaghetti carbonara,"Champignons, Fromage en grains, Chocolat noir","Champignons, Fromage en grains, Chocolat noir",Lait
Cassoulet,"Poulet, Fromage en grains, Pommes de terre, Lait, Céleri","Poulet, Fromage en grains, Pommes de terre, Lait, Céleri","Lait, Céleri"
Poulet à la crème,"Lait, Pâtes alimentaires, Vanille, Moutarde, Poulet, Fromage en grains","Lait, Pâtes alimentaires, Vanille, Moutarde, Poulet, Fromage en grains","Moutarde, Gluten, Lait"
Pot-au-feu,"Chocolat noir, Champignons, Carottes","Chocolat noir, Champignons, Carottes",Aucun
Tarte au sucre,"Pain, Huile végétale, Sésame, Vanille, Noix de cajou","Pain, Huile végétale, Sésame, Vanille, Noix de cajou","Fruits à coque, Gluten, Graines de sésame"
Omelette au fromage,"Moutarde, Lait, Vanille, Beurre, Oeufs","Moutarde, Lait, Vanille, Beurre, Oeufs","Moutarde, Oeufs, Lait"
Chili con carne,"Noisettes, Arachides, Tomates","Noisettes, Arachides, Tomates","Fruits à coque, Arachides"
Spaghetti carbonara,"Crevettes, Oignons, Tomates, Sésame, Huile végétale, Poulet","Crevettes, Oignons, Tomates, Sésame, Huile végétale, Poulet","Graines de sésame, Crustacés"
Rôti de porc,"Tomates, Oeufs, Moutarde, Chocolat noir, Noix de cajou, Oignons","Tomates, Oeufs, Moutarde, Chocolat noir, Noix de cajou, Oignons","Moutarde, Oeufs, Fruits à coque"
Spaghetti carbonara,"Sésame, Huile végétale, Farine de blé, Pâtes alimentaires, Lait, Pommes de terre","Sésame, Huile végétale, Farine de blé, Pâtes alimentaires, Lait, Pommes de terre","Gluten, Graines de sésame, Lait"
Poulet rôti,"Chocolat noir, Céleri, Carottes, Vanille, Escargots, Oeufs","Chocolat noir, Céleri, Carottes, Vanille, Escargots, Oeufs","Oeufs, Mollusques, Céleri"
Pain doré,"Pain, Noix de cajou, Escargots, Lait","Pain, Noix de cajou, Escargots, Lait","Fruits à coque, Gluten, Lait, Mollusques"
Boeuf bourguignon,"Sauce soja, Champignons, Oignons, Pain, Chocolat noir","Sauce soja, Champignons, Oignons, Pain, Chocolat noir","Gluten, Soja"
Coquilles Saint-Jacques,"Fromage en grains, Chocolat noir, Noix de cajou, Crème fraîche, Farine de blé, Pain","Fromage en grains, Chocolat noir, Noix de cajou, Crème fraîche, Farine de blé, Pain","Fruits à coque, Gluten, Lait"
Gâteau au chocolat,"Boeuf haché, Vanille, Crème fraîche, Oeufs, Moutarde, Champignons","Boeuf haché, Vanille, Crème fraîche, Oeufs, Moutarde, Champignons","Moutarde, Oeufs, Lait"
Poulet rôti,"Oignons, Fromage en grains, Champignons, Beurre","Oignons, Fromage en grains, Champignons, Beurre",Lait
Moules-frites,"Sauce soja, Escargots, Lait, Crème fraîche, Carottes, Poivrons","Sauce soja, Escargots, Lait, Crème fraîche, Carottes, Poivrons","Lait, Mollusques, Soja"
Salade César,"Tomates, Pommes de terre, Oignons, Poisson, Céleri, Vanille","Tomates, Pommes de terre, Oignons, Poisson, Céleri, Vanille","Céleri, Poisson"
Escargots à l'ail,"Fromage en grains, Champignons, Tomates, Boeuf haché, Crème fraîche, Sauce soja","Fromage en grains, Champignons, Tomates, Boeuf haché, Crème fraîche, Sauce soja","Lait, Soja"
Omelette au fromage,"Lait, Sauce soja, Tomates","Lait, Sauce soja, Tomates","Lait, Soja"
Macarons,"Carottes, Sauce soja, Arachides, Beurre, Escargots, Chocolat noir","Carottes, Sauce soja, Arachides, Beurre, Escargots, Chocolat noir","Arachides, Lait, Mollusques, Soja"
Coquilles Saint-Jacques,"Sésame, Vanille, Beurre, Céleri, Oignons","Sésame, Vanille, Beurre, Céleri, Oignons","Graines de sésame, Lait, Céleri"
Omelette au fromage,"Beurre, Poulet, Sésame, Oeufs","Beurre, Poulet, Sésame, Oeufs","Oeufs, Graines de sésame, Lait"
Salade niçoise,"Oignons, Farine de blé, Sauce soja, Vanille, Pommes de terre","Oignons, Farine de blé, Sauce soja, Vanille, Pommes de terre","Gluten, Soja"
Profiteroles,"Lait, Huile végétale, Vanille, Farine de blé","Lait, Huile végétale, Vanille, Farine de blé","Gluten, Lait"
Poulet rôti,"Champignons, Crème fraîche, Pommes de terre, Crevettes, Sauce brune","Champignons, Crème fraîche, Pommes de terre, Crevettes, Sauce brune","Gluten, Lait, Crustacés"
Salade César,"Sauce brune, Boeuf haché, Beurre, Pâtes alimentaires, Farine de blé","Sauce brune, Boeuf haché, Beurre, Pâtes alimentaires, Farine de blé","Gluten, Lait"
Pizza au fromage,"Chocolat noir, Sauce soja, Pain, Lait","Chocolat noir, Sauce soja, Pain, Lait","Gluten, Lait, Soja"
Cassoulet,"Tomates, Farine de blé, Sauce brune","Tomates, Farine de blé, Sauce brune",Gluten
Tarte au sucre,"Poulet, Sésame, Escargots, Chocolat noir, Oeufs","Poulet, Sésame, Escargots, Chocolat noir, Oeufs","Oeufs, Graines de sésame, Mollusques"
Pâté chinois,"Fromage en grains, Noix de cajou, Crevettes","Fromage en grains, Noix de cajou, Crevettes","Fruits à coque, Lait, Crustacés"
Pain doré,"Noix de cajou, Poisson, Oignons, Céleri, Pain","Noix de cajou, Poisson, Oignons, Céleri, Pain","Fruits à coque, Gluten, Céleri, Poisson"
Chili con carne,"Vanille, Poivrons, Oeufs, Noix de cajou, Farine de blé, Pain","Vanille, Poivrons, Oeufs, Noix de cajou, Farine de blé, Pain","Fruits à coque, Oeufs, Gluten"
Pizza au fromage,"Crevettes, Beurre, Fromage en grains, Poivrons, Sauce soja, Pommes de terre","Crevettes, Beurre, Fromage en grains, Poivrons, Sauce soja, Pommes de terre","Lait, Soja, Crustacés"
Raclette,"Poivrons, Beurre, Vanille","Poivrons, Beurre, Vanille",Lait
Cassoulet,"Sauce soja, Pain, Lait","Sauce soja, Pain, Lait","Gluten, Lait, Soja"
Soupe aux pois,"Chocolat noir, Vanille, Farine de blé, Huile végétale, Sauce brune, Oeufs","Chocolat noir, Vanille, Farine de blé, Huile végétale, Sauce brune, Oeufs","Gluten, Oeufs"
Gâteau au chocolat,"Crevettes, Crème fraîche, Sauce brune, Pâtes alimentaires, Chocolat noir, Poulet","Crevettes, Crème fraîche, Sauce brune, Pâtes alimentaires, Chocolat noir, Poulet","Gluten, Lait, Crustacés"
Raclette,"Crevettes, Chocolat noir, Boeuf haché, Fromage en grains, Céleri, Poisson","Crevettes, Chocolat noir, Boeuf haché, Fromage en grains, Céleri, Poisson","Poisson, Lait, Céleri, Crustacés"
Tarte au sucre,"Boeuf haché, Huile végétale, Poivrons, Poisson","Boeuf haché, Huile végétale, Poivrons, Poisson",Poisson
Soupe aux pois,"Lait, Poivrons, Sauce brune, Crème fraîche, Pâtes alimentaires","Lait, Poivrons, Sauce brune, Crème fraîche, Pâtes alimentaires","Gluten, Lait"
Soupe aux pois,"Carottes, Poulet, Pain, Boeuf haché","Carottes, Poulet, Pain, Boeuf haché",Gluten
Croque-monsieur,"Sauce soja, Pommes de terre, Fromage en grains","Sauce soja, Pommes de terre, Fromage en grains","Lait, Soja"
Boeuf stroganoff,"Poulet, Poivrons, Sésame","Poulet, Poivrons, Sésame",Graines de sésame
Macarons,"Boeuf haché, Vanille, Fromage en grains, Tomates, Huile végétale, Champignons","Boeuf haché, Vanille, Fromage en grains, Tomates, Huile végétale, Champignons",Lait
Chili con carne,"Poisson, Pâtes alimentaires, Pain, Céleri, Carottes, Noisettes","Poisson, Pâtes alimentaires, Pain, Céleri, Carottes, Noisettes","Fruits à coque, Gluten, Céleri, Poisson"
Omelette au fromage,"Fromage en grains, Tomates, Huile végétale, Céleri","Fromage en grains, Tomates, Huile végétale, Céleri","Lait, Céleri"
Spaghetti carbonara,"Crème fraîche, Poivrons, Oeufs, Huile végétale","Crème fraîche, Poivrons, Oeufs, Huile végétale","Oeufs, Lait"
Raclette,"Poisson, Sauce brune, Pommes de terre, Sésame, Oignons, Arachides","Poisson, Sauce brune, Pommes de terre, Sésame, Oignons, Arachides","Gluten, Graines de sésame, Arachides, Poisson"
Cassoulet,"Poivrons, Arachides, Oignons","Poivrons, Arachides, Oignons",Arachides
Profiteroles,"Oignons, Crevettes, Beurre, Sauce soja, Carottes, Noisettes","Oignons, Crevettes, Beurre, Sauce soja, Carottes, Noisettes","Fruits à coque, Lait, Soja, Crustacés"
Profiteroles,"Arachides, Lait, Pain, Moutarde, Vanille","Arachides, Lait, Pain, Moutarde, Vanille","Moutarde, Gluten, Arachides, Lait"
Poulet rôti,"Sauce soja, Sauce brune, Poulet, Lait","Sauce soja, Sauce brune, Poulet, Lait","Gluten, Lait, Soja"
Soupe aux pois,"Crevettes, Boeuf haché, Pâtes alimentaires, Champignons, Escargots","Crevettes, Boeuf haché, Pâtes alimentaires, Champignons, Escargots","Gluten, Mollusques, Crustacés"
Chili con carne,"Fromage en grains, Pommes de terre, Beurre, Arachides","Fromage en grains, Pommes de terre, Beurre, Arachides","Arachides, Lait"
Quiche lorraine,"Tomates, Farine de blé, Chocolat noir, Céleri","Tomates, Farine de blé, Chocolat noir, Céleri","Gluten, Céleri"
Pot-au-feu,"Crème fraîche, Noix de cajou, Fromage en grains, Oeufs, Escargots","Crème fraîche, Noix de cajou, Fromage en grains, Oeufs, Escargots","Fruits à coque, Oeufs, Lait, Mollusques"
Croque-monsieur,"Pain, Huile végétale, Pâtes alimentaires, Champignons, Crème fraîche","Pain, Huile végétale, Pâtes alimentaires, Champignons, Crème fraîche","Gluten, Lait"
Boeuf stroganoff,"Pommes de terre, Crème fraîche, Poulet","Pommes de terre, Crème fraîche, Poulet",Lait
Cassoulet,"Pommes de terre, Fromage en grains, Tomates, Farine de blé","Pommes de terre, Fromage en grains, Tomates, Farine de blé","Gluten, Lait"
Soupe à l'oignon,"Sauce brune, Beurre, Escargots, Boeuf haché, Crème fraîche","Sauce brune, Beurre, Escargots, Boeuf haché, Crème fraîche","Gluten, Lait, Mollusques"
Hamburger steak,"Poulet, Crème fraîche, Poivrons, Tomates, Céleri","Poulet, Crème fraîche, Poivrons, Tomates, Céleri","Lait, Céleri"
Magret de canard,"Beurre, Poisson, Sauce brune, Moutarde, Noix de cajou, Crevettes","Beurre, Poisson, Sauce brune, Moutarde, Noix de cajou, Crevettes","Fruits à coque, Lait, Poisson, Moutarde, Gluten, Crustacés"
Tourtière,"Carottes, Sauce brune, Vanille, Oeufs, Poulet","Carottes, Sauce brune, Vanille, Oeufs, Poulet","Gluten, Oeufs"
Pot-au-feu,"Sauce soja, Arachides, Boeuf haché, Noisettes, Chocolat noir","Sauce soja, Arachides, Boeuf haché, Noisettes, Chocolat noir","Fruits à coque, Arachides, Soja"
Cassoulet,"Pain, Céleri, Huile végétale, Crevettes","Pain, Céleri, Huile végétale, Crevettes","Gluten, Céleri, Crustacés"
Tourtière,"Poisson, Pâtes alimentaires, Noisettes","Poisson, Pâtes alimentaires, Noisettes","Fruits à coque, Gluten, Poisson"
Tourtière,"Moutarde, Crème fraîche, Sauce soja","Moutarde, Crème fraîche, Sauce soja","Moutarde, Lait, Soja"
Fondue au fromage,"Tomates, Huile végétale, Moutarde, Arachides, Céleri","Tomates, Huile végétale, Moutarde, Arachides, Céleri","Moutarde, Arachides, Céleri"
Ratatouille,"Moutarde, Farine de blé, Poisson, Oignons, Beurre, Oeufs","Moutarde, Farine de blé, Poisson, Oignons, Beurre, Oeufs","Oeufs, Lait, Poisson, Moutarde, Gluten"
Poulet à la crème,"Céleri, Poisson, Crème fraîche","Céleri, Poisson, Crème fraîche","Lait, Céleri, Poisson"
Quiche lorraine,"Oignons, Sauce brune, Fromage en grains, Pain, Céleri","Oignons, Sauce brune, Fromage en grains, Pain, Céleri","Gluten, Lait, Céleri"
Profiteroles,"Noix de cajou, Oignons, Carottes, Pain","Noix de cajou, Oignons, Carottes, Pain","Fruits à coque, Gluten"
Pot-au-feu,"Fromage en grains, Pommes de terre, Sauce brune, Arachides","Fromage en grains, Pommes de terre, Sauce brune, Arachides","Gluten, Arachides, Lait"
Soupe à l'oignon,"Oeufs, Huile végétale, Tomates","Oeufs, Huile végétale, Tomates",Oeufs
Profiteroles,"Poivrons, Moutarde, Escargots","Poivrons, Moutarde, Escargots","Moutarde, Mollusques"
Pâté chinois,"Pain, Sauce brune, Arachides, Sauce soja, Sésame, Crème fraîche","Pain, Sauce brune, Arachides, Sauce soja, Sésame, Crème fraîche","Graines de sésame, Soja, Arachides, Lait, Gluten"
Escargots à l'ail,"Arachides, Céleri, Lait","Arachides, Céleri, Lait","Arachides, Lait, Céleri"
Salade niçoise,"Farine de blé, Arachides, Sésame, Noix de cajou, Poulet, Huile végétale","Farine de blé, Arachides, Sésame, Noix de cajou, Poulet, Huile végétale","Fruits à coque, Gluten, Arachides, Graines de sésame"
Pot-au-feu,"Crème fraîche, Lait, Pâtes alimentaires, Sauce brune, Escargots","Crème fraîche, Lait, Pâtes alimentaires, Sauce brune, Escargots","Gluten, Lait, Mollusques"
Saucisses et purée,"Arachides, Carottes, Moutarde","Arachides, Carottes, Moutarde","Moutarde, Arachides"
Pot-au-feu,"Carottes, Pâtes alimentaires, Tomates","Carottes, Pâtes alimentaires, Tomates",Gluten
Pain doré,"Huile végétale, Crevettes, Carottes, Beurre, Sésame, Moutarde","Huile végétale, Crevettes, Carottes, Beurre, Sésame, Moutarde","Moutarde, Graines de sésame, Lait, Crustacés"
Filet de saumon,"Poivrons, Lait, Noisettes, Carottes","Poivrons, Lait, Noisettes, Carottes","Fruits à coque, Lait"
Salade César,"Oignons, Lait, Fromage en grains, Pommes de terre, Huile végétale, Vanille","Oignons, Lait, Fromage en grains, Pommes de terre, Huile végétale, Vanille",Lait
Soupe à l'oignon,"Pain, Beurre, Noisettes, Pommes de terre, Noix de cajou, Sésame","Pain, Beurre, Noisettes, Pommes de terre, Noix de cajou, Sésame","Fruits à coque, Gluten, Graines de sésame, Lait"
Hamburger steak,"Carottes, Oeufs, Escargots","Carottes, Oeufs, Escargots","Oeufs, Mollusques"
Hamburger steak,"Chocolat noir, Céleri, Pâtes alimentaires","Chocolat noir, Céleri, Pâtes alimentaires","Gluten, Céleri"
Pizza au fromage,"Poivrons, Boeuf haché, Chocolat noir, Lait, Pommes de terre","Poivrons, Boeuf haché, Chocolat noir, Lait, Pommes de terre",Lait
Magret de canard,"Céleri, Huile végétale, Crevettes","Céleri, Huile végétale, Crevettes","Céleri, Crustacés"
Lasagne bolognaise,"Fromage en grains, Escargots, Pâtes alimentaires, Arachides, Champignons, Vanille","Fromage en grains, Escargots, Pâtes alimentaires, Arachides, Champignons, Vanille","Gluten, Arachides, Lait, Mollusques"
Filet de saumon,"Huile végétale, Champignons, Pâtes alimentaires, Crevettes, Oeufs, Pain","Huile végétale, Champignons, Pâtes alimentaires, Crevettes, Oeufs, Pain","Gluten, Oeufs, Crustacés"
Gâteau au chocolat,"Sésame, Pain, Fromage en grains","Sésame, Pain, Fromage en grains","Gluten, Graines de sésame, Lait"
Saucisses et purée,"Noix de cajou, Poivrons, Boeuf haché, Huile végétale, Pommes de terre, Moutarde","Noix de cajou, Poivrons, Boeuf haché, Huile végétale, Pommes de terre, Moutarde","Fruits à coque, Moutarde"
Chili con carne,"Pommes de terre, Crème fraîche, Poisson","Pommes de terre, Crème fraîche, Poisson","Lait, Poisson"
Chili con carne,"Sauce soja, Boeuf haché, Céleri, Crevettes, Beurre, Huile végétale","Sauce soja, Boeuf haché, Céleri, Crevettes, Beurre, Huile végétale","Lait, Crustacés, Céleri, Soja"
Tarte au sucre,"Oeufs, Poulet, Sauce brune, Fromage en grains","Oeufs, Poulet, Sauce brune, Fromage en grains","Oeufs, Gluten, Lait"
Tourtière,"Huile végétale, Poisson, Noisettes, Noix de cajou, Tomates","Huile végétale, Poisson, Noisettes, Noix de cajou, Tomates","Fruits à coque, Poisson"
Moules-frites,"Noix de cajou, Beurre, Oeufs, Moutarde","Noix de cajou, Beurre, Oeufs, Moutarde","Fruits à coque, Oeufs, Moutarde, Lait"
Gâteau au chocolat,"Beurre, Crème fraîche, Tomates, Pommes de terre, Sésame","Beurre, Crème fraîche, Tomates, Pommes de terre, Sésame","Graines de sésame, Lait"
Coquilles Saint-Jacques,"Farine de blé, Sauce soja, Noix de cajou, Pâtes alimentaires, Tomates","Farine de blé, Sauce soja, Noix de cajou, Pâtes alimentaires, Tomates","Fruits à coque, Gluten, Soja"
Rôti de porc,"Sésame, Poisson, Pain, Noisettes, Vanille","Sésame, Poisson, Pain, Noisettes, Vanille","Fruits à coque, Gluten, Graines de sésame, Poisson"
Soupe aux pois,"Sauce soja, Pain, Céleri, Huile végétale, Beurre","Sauce soja, Pain, Céleri, Huile végétale, Beurre","Gluten, Lait, Céleri, Soja"
